CODE	MESSAGE	DESC
ERR001	필수 데이터가 없습니다.	필수로 표시 된 항목에 대한 정보가 없을 시 발생
ERR002	멤버십 가입 등록에 실패하였습니다.	멤버십 가입 정보 등록 실패 시 발생
ERR101	가입정보가 없습니다.	해당 가입자에 대한 정보가 없을 시 발생
ERR102	아이디 또는 비밀번호가 틀렸습니다.	아이디 혹은 비밀번호가 틀렸을 시 발생
ERR103	계정 잠금 상태입니다.	해당 계정이 현재 잠금 상태일 때 발생
ERR104	블락 된 회원입니다.	해당 회원의 정보가 블락처리 되었을 때 발생
ERR201	이미 가입 된 회원입니다.	해당 정보의 회원이 이미 가입되어 있을 시 발생
ERR202	회원 정보 생성에 실패하였습니다.	회원 정보 생성에 실패하였을 때 발생
ERR203	전환 회원 대상이 아닙니다.	API호출 시 코드 잘못 보냈을 시 발생
ERR204	해당 아이디는 멤버십에서 사용 중 입니다.	아이디 중복 시 발생
ERR301	현재 비밀번호와 일치하지 않습니다.	비밀번호 변경 시 현재 비밀번호가 다를 시 발생
ERR401	동기화에 실패하였습니다.	정보 동기화 실패 시 발생
ERR501	사용 할 수 없는 아이디입니다.	
ERR502	사용 할 수 없는 이메일입니다.	
ERR503	약관이 존재하지 않습니다.	언어코드로 약관 조회시 언어코드에 맞는 약관이 없을때 발생
